,YearStart,YearEnd,LocationAbbr,LocationDesc,Topic,Question,DataValueType,DataValue,DataValueAlt,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,LocationID,Latitude,Longitude
0,2020,2020,NY,New York,Asthma,Current asthma prevalence among adults aged >= 18 years,Age-adjusted Prevalence,6.0,6.0,4.2,8.5,Race/Ethnicity,"Other, non-Hispanic",36,-75.54397042699964,42.82700103200045
1,2020,2020,OH,Ohio,Asthma,Current asthma prevalence among adults aged >= 18 years,Age-adjusted Prevalence,20.7,20.7,14.9,28.0,Race/Ethnicity,"Multiracial, non-Hispanic",39,-82.40426005599966,40.06021014100048
2,2020,2020,PA,Pennsylvania,Asthma,Current asthma prevalence among adults aged >= 18 years,Crude Prevalence,16.0,16.0,11.1,22.7,Race/Ethnicity,Hispanic,42,-77.86070029399963,40.79373015200048
3,2020,2020,OR,Oregon,Asthma,Current asthma prevalence among adults aged >= 18 years,Age-adjusted Prevalence,16.8,16.8,9.8,27.1,Race/Ethnicity,"Multiracial, non-Hispanic",41,-120.15503132599969,44.56744942400047
4,2020,2020,AR,Arkansas,Asthma,Current asthma prevalence among adults aged >= 18 years,Crude Prevalence,9.2,9.2,8.0,10.5,Race/Ethnicity,"White, non-Hispanic",5,-92.27449074299966,34.74865012400045
5,2020,2020,AZ,Arizona,Asthma,Current asthma prevalence among adults aged >= 18 years,Age-adjusted Prevalence,12.2,12.2,10.9,13.6,Gender,Female,4,-111.76381127699972,34.865970280000454
6,2020,2020,MI,Michigan,Asthma,Current asthma prevalence among adults aged >= 18 years,Crude Prevalence,10.5,10.5,9.5,11.6,Race/Ethnicity,"White, non-Hispanic",26,-84.71439026999968,44.6613195430005
7,2020,2020,NH,New Hampshire,Asthma,Current asthma prevalence among adults aged >= 18 years,Age-adjusted Prevalence,15.5,15.5,13.7,17.6,Gender,Female,33,-71.50036091999965,43.65595011300047
8,2020,2020,SD,South Dakota,Asthma,Current asthma prevalence among adults aged >= 18 years,Age-adjusted Prevalence,5.3,5.3,4.0,7.0,Gender,Male,46,-100.3735306369997,44.353130053000484
9,2020,2020,NH,New Hampshire,Asthma,Current asthma prevalence among adults aged >= 18 years,Crude Prevalence,11.4,11.4,10.3,12.6,Race/Ethnicity,"White, non-Hispanic",33,-71.50036091999965,43.65595011300047
10,2020,2020,AK,Alaska,Asthma,Current asthma prevalence among adults aged >= 18 years,Crude Prevalence,8.9,8.9,7.4,10.5,Overall,Overall,2,-147.72205903599973,64.84507995700051
11,2020,2020,AK,Alaska,Asthma,Current asthma prevalence among adults aged >= 18 years,Age-adjusted Prevalence,16.5,16.5,9.3,27.5,Race/Ethnicity,Hispanic,2,-147.72205903599973,64.84507995700051
12,2020,2020,AK,Alaska,Asthma,Current asthma prevalence among adults aged >= 18 years,Age-adjusted Prevalence,8.8,8.8,7.2,10.6,Race/Ethnicity,"White, non-Hispanic",2,-147.72205903599973,64.84507995700051
13,2020,2020,AK,Alaska,Asthma,Current asthma prevalence among adults aged >= 18 years,Crude Prevalence,,,,,Race/Ethnicity,"Multiracial, non-Hispanic",2,-147.72205903599973,64.84507995700051
14,2020,2020,AK,Alaska,Asthma,Current asthma prevalence among adults aged >= 18 years,Crude Prevalence,12.6,12.6,10.4,15.3,Gender,Female,2,-147.72205903599973,64.84507995700051
15,2020,2020,AK,Alaska,Asthma,Current asthma prevalence among adults aged >= 18 years,Crude Prevalence,8.8,8.8,7.2,10.6,Race/Ethnicity,"White, non-Hispanic",2,-147.72205903599973,64.84507995700051
16,2020,2020,AK,Alaska,Asthma,Current asthma prevalence among adults aged >= 18 years,Crude Prevalence,,,,,Race/Ethnicity,Hispanic,2,-147.72205903599973,64.84507995700051
17,2020,2020,AK,Alaska,Asthma,Current asthma prevalence among adults aged >= 18 years,Age-adjusted Prevalence,8.8,8.8,7.4,10.5,Overall,Overall,2,-147.72205903599973,64.84507995700051
18,2020,2020,AK,Alaska,Asthma,Current asthma prevalence among adults aged >= 18 years,Age-adjusted Prevalence,,,,,Race/Ethnicity,"Multiracial, non-Hispanic",2,-147.72205903599973,64.84507995700051
19,2020,2020,AK,Alaska,Asthma,Current asthma prevalence among adults aged >= 18 years,Age-adjusted Prevalence,12.5,12.5,10.3,15.1,Gender,Female,2,-147.72205903599973,64.84507995700051
20,2020,2020,AK,Alaska,Asthma,Current asthma prevalence among adults aged >= 18 years,Age-adjusted Prevalence,,,,,Race/Ethnicity,"Black, non-Hispanic",2,-147.72205903599973,64.84507995700051
21,2020,2020,AK,Alaska,Asthma,Current asthma prevalence among adults aged >= 18 years,Crude Prevalence,5.5,5.5,3.9,7.7,Gender,Male,2,-147.72205903599973,64.84507995700051
22,2020,2020,AK,Alaska,Asthma,Current asthma prevalence among adults aged >= 18 years,Crude Prevalence,8.4,8.4,5.2,13.4,Race/Ethnicity,"Other, non-Hispanic",2,-147.72205903599973,64.84507995700051
23,2020,2020,AK,Alaska,Asthma,Current asthma prevalence among adults aged >= 18 years,Crude Prevalence,,,,,Race/Ethnicity,"Black, non-Hispanic",2,-147.72205903599973,64.84507995700051
24,2020,2020,AK,Alaska,Asthma,Current asthma prevalence among adults aged >= 18 years,Age-adjusted Prevalence,5.5,5.5,3.9,7.7,Gender,Male,2,-147.72205903599973,64.84507995700051
25,2020,2020,AK,Alaska,Asthma,Current asthma prevalence among adults aged >= 18 years,Age-adjusted Prevalence,8.5,8.5,5.5,13.0,Race/Ethnicity,"Other, non-Hispanic",2,-147.72205903599973,64.84507995700051
26,2020,2020,AL,Alabama,Asthma,Current asthma prevalence among adults aged >= 18 years,Age-adjusted Prevalence,8.4,8.4,7.2,9.9,Race/Ethnicity,"White, non-Hispanic",1,-86.63186076199969,32.84057112200048
27,2020,2020,AL,Alabama,Asthma,Current asthma prevalence among adults aged >= 18 years,Crude Prevalence,9.0,9.0,8.0,10.0,Overall,Overall,1,-86.63186076199969,32.84057112200048
28,2020,2020,AL,Alabama,Asthma,Current asthma prevalence among adults aged >= 18 years,Age-adjusted Prevalence,,,,,Race/Ethnicity,Hispanic,1,-86.63186076199969,32.84057112200048
29,2020,2020,AL,Alabama,Asthma,Current asthma prevalence among adults aged >= 18 years,Crude Prevalence,10.9,10.9,9.6,12.4,Gender,Female,1,-86.63186076199969,32.84057112200048
30,2020,2020,AL,Alabama,Asthma,Current asthma prevalence among adults aged >= 18 years,Age-adjusted Prevalence,22.7,22.7,13.9,34.8,Race/Ethnicity,"Multiracial, non-Hispanic",1,-86.63186076199969,32.84057112200048
31,2020,2020,AL,Alabama,Asthma,Current asthma prevalence among adults aged >= 18 years,Crude Prevalence,,,,,Race/Ethnicity,Hispanic,1,-86.63186076199969,32.84057112200048
32,2020,2020,AL,Alabama,Asthma,Current asthma prevalence among adults aged >= 18 years,Age-adjusted Prevalence,10.9,10.9,9.5,12.5,Gender,Female,1,-86.63186076199969,32.84057112200048
33,2020,2020,AL,Alabama,Asthma,Current asthma prevalence among adults aged >= 18 years,Age-adjusted Prevalence,9.0,9.0,8.0,10.2,Overall,Overall,1,-86.63186076199969,32.84057112200048
34,2020,2020,AL,Alabama,Asthma,Current asthma prevalence among adults aged >= 18 years,Crude Prevalence,6.9,6.9,5.6,8.4,Gender,Male,1,-86.63186076199969,32.84057112200048
35,2020,2020,AL,Alabama,Asthma,Current asthma prevalence among adults aged >= 18 years,Age-adjusted Prevalence,10.3,10.3,8.4,12.6,Race/Ethnicity,"Black, non-Hispanic",1,-86.63186076199969,32.84057112200048
36,2020,2020,AL,Alabama,Asthma,Current asthma prevalence among adults aged >= 18 years,Crude Prevalence,,,,,Race/Ethnicity,"Multiracial, non-Hispanic",1,-86.63186076199969,32.84057112200048
37,2020,2020,AL,Alabama,Asthma,Current asthma prevalence among adults aged >= 18 years,Crude Prevalence,8.3,8.3,7.2,9.6,Race/Ethnicity,"White, non-Hispanic",1,-86.63186076199969,32.84057112200048
38,2020,2020,AL,Alabama,Asthma,Current asthma prevalence among adults aged >= 18 years,Age-adjusted Prevalence,14.0,14.0,7.7,23.9,Race/Ethnicity,"Other, non-Hispanic",1,-86.63186076199969,32.84057112200048
39,2020,2020,AL,Alabama,Asthma,Current asthma prevalence among adults aged >= 18 years,Crude Prevalence,10.4,10.4,8.4,12.7,Race/Ethnicity,"Black, non-Hispanic",1,-86.63186076199969,32.84057112200048
40,2020,2020,AL,Alabama,Asthma,Current asthma prevalence among adults aged >= 18 years,Crude Prevalence,,,,,Race/Ethnicity,"Other, non-Hispanic",1,-86.63186076199969,32.84057112200048
41,2020,2020,AL,Alabama,Asthma,Current asthma prevalence among adults aged >= 18 years,Age-adjusted Prevalence,6.9,6.9,5.5,8.6,Gender,Male,1,-86.63186076199969,32.84057112200048
42,2020,2020,AR,Arkansas,Asthma,Current asthma prevalence among adults aged >= 18 years,Crude Prevalence,6.5,6.5,5.3,7.9,Gender,Male,5,-92.27449074299966,34.74865012400045
43,2020,2020,AR,Arkansas,Asthma,Current asthma prevalence among adults aged >= 18 years,Crude Prevalence,,,,,Race/Ethnicity,Hispanic,5,-92.27449074299966,34.74865012400045
44,2020,2020,AR,Arkansas,Asthma,Current asthma prevalence among adults aged >= 18 years,Age-adjusted Prevalence,15.1,15.1,9.2,23.8,Race/Ethnicity,"Multiracial, non-Hispanic",5,-92.27449074299966,34.74865012400045
