,Site Number,State,Latitude,Longitude
0,1,Alabama,33.284928,-85.803608
1,9001,Alabama,33.0928,-86.8072
2,4,Alabama,33.317142,-86.825754
3,1003,Alabama,34.288567,-85.969858
4,9991,Alabama,34.289001,-85.970065
5,6002,Alabama,33.578333,-86.773889
6,23,Alabama,33.553056,-86.815
7,2003,Alabama,33.499722,-86.924167
8,2059,Alabama,33.521427,-86.844112
9,11,Alabama,34.530717,-86.967536
10,10,Alabama,30.497478,-87.880258
11,1010,Alabama,33.545278,-86.549167
12,2005,Alabama,30.474305,-88.141022
13,3,Alabama,30.770181,-88.087761
14,14,Alabama,34.68547,-86.58816
15,22,Alabama,34.772727,-86.756174
16,1002,Alabama,32.412811,-86.263394
17,5003,Alabama,33.801667,-86.9425
18,1005,Alabama,33.331111,-87.003611
19,8001,Arizona,36.05864,-112.1836
20,1018,Arizona,32.425261,-111.06352
21,1034,Arizona,32.38082,-111.12716
22,1235,Arizona,35.880404,-109.438003
23,9702,Arizona,33.54558,-111.60972
24,4008,Arizona,33.82169,-112.01726
25,7001,Arizona,33.081704,-111.752943
26,3015,Arizona,32.884761,-112.03705
27,8000,Arizona,34.2439,-113.5586
28,3002,Arizona,33.421194,-111.503222
29,3001,Arizona,33.4214,-111.5436
30,2001,Arizona,33.57453,-112.19193
31,1001,Arizona,33.006179,-110.785797
32,19,Arizona,33.48378,-112.14256
33,1004,Arizona,33.56031,-112.06619
34,4003,Arizona,33.40314,-112.07526
35,9812,Arizona,33.4265,-112.11821
36,9997,Arizona,33.503833,-112.095767
37,4020,Arizona,33.46173,-112.12796
38,3007,Arizona,32.508306,-111.308056
39,3003,Arizona,33.47968,-111.91721
40,7020,Arizona,33.488131,-111.855443
41,7021,Arizona,33.507992,-111.755334
42,7024,Arizona,33.508125,-111.83852
43,4005,Arizona,33.41123,-111.93471
44,1011,Arizona,32.204411,-110.878067
45,1014,Arizona,32.20739,-110.910619
46,1020,Arizona,32.04767,-110.774357
47,1028,Arizona,32.29515,-110.9823
48,1032,Arizona,32.172995,-110.980134
49,4011,Arizona,33.36985,-112.62068
50,4004,Arizona,33.29896,-111.88426
51,1008,Arizona,35.206111,-111.652777
52,9704,Arizona,33.61092,-111.72534
53,1030,Arizona,31.87952,-110.99644
54,7022,Arizona,33.474609,-111.805769
55,12,Arizona,33.397433,-110.87445
56,8034,Arizona,34.612055,-112.463213
57,4010,Arizona,33.63718,-112.34185
58,8011,Arizona,32.690278,-114.61444
59,7003,Arizona,33.290229,-112.160597
60,119,Arizona,34.82251,-109.89249
61,9508,Arizona,33.9828,-111.79871
62,21,Arizona,32.174538,-110.737116
63,6,Arkansas,33.220563,-92.672263
64,2,Arkansas,34.583699,-94.226234
65,5,Arkansas,36.1797,-94.116827
66,7,Arkansas,34.756189,-92.281296
67,1201,California,33.362593,-117.09023
68,1016,California,32.845709,-117.123964
69,1017,California,32.985442,-117.08218
